X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
3.36301,-0.00060042,,3.36301,-0.0024922
3.36317,-0.000744894,,3.36317,-0.0031014
3.36332,-0.000860742,,3.36332,-0.00359124
3.36348,-0.000943512,,3.36348,-0.00394117
3.36364,-0.000990024,,3.36364,-0.00413638
3.36379,-0.000998489,,3.36379,-0.00416853
3.36395,-0.000968583,,3.36395,-0.00403625
3.36411,-0.000901455,,3.36411,-0.00374521
3.36426,-0.000799685,,3.36426,-0.00330778
3.36442,-0.000667183,,3.36442,-0.00274238
3.36457,-0.000509041,,3.36457,-0.00207255
3.36473,-0.000331338,,3.36473,-0.00132571
3.36489,-0.000140901,,3.36489,-0.000531885
3.36504,5.49502e-05,,3.36504,0.000277653
3.3652,0.00024869,,3.3652,0.00107171
3.36536,0.000432873,,3.36536,0.00182036
3.36551,0.00060042,,3.36551,0.00249601
3.36567,0.000744894,,3.36567,0.00307427
3.36582,0.000860742,,3.36582,0.00353465
3.36598,0.000943512,,3.36598,0.00386108
3.36614,0.000990024,,3.36614,0.00404232
3.36629,0.000998489,,3.36629,0.00407218
3.36645,0.000968583,,3.36645,0.00394963
3.36661,0.000901455,,3.36661,0.00367884
3.36676,0.000799685,,3.36676,0.00326912
3.36692,0.000667183,,3.36692,0.00273466
3.36707,0.000509041,,3.36707,0.00209429
3.36723,0.000331338,,3.36723,0.00137095
3.36739,0.000140901,,3.36739,0.000591084
3.36754,-5.49502e-05,,3.36754,-0.00021616
3.3677,-0.00024869,,3.3677,-0.00101994
3.36786,-0.000432873,,3.36786,-0.00178884
3.36801,-0.00060042,,3.36801,-0.0024922
3.36817,-0.000744894,,3.36817,-0.0031014
3.36832,-0.000860742,,3.36832,-0.00359124
3.36848,-0.000943512,,3.36848,-0.00394117
3.36864,-0.000990024,,3.36864,-0.00413638
3.36879,-0.000998489,,3.36879,-0.00416853
3.36895,-0.000968583,,3.36895,-0.00403625
3.36911,-0.000901455,,3.36911,-0.00374521
3.36926,-0.000799685,,3.36926,-0.00330778
3.36942,-0.000667183,,3.36942,-0.00274238
3.36957,-0.000509041,,3.36957,-0.00207255
3.36973,-0.000331338,,3.36973,-0.00132571
3.36989,-0.000140901,,3.36989,-0.000531885
3.37004,5.49502e-05,,3.37004,0.000277654
3.3702,0.00024869,,3.3702,0.00107171
3.37036,0.000432873,,3.37036,0.00182036
3.37051,0.00060042,,3.37051,0.00249602
3.37067,0.000744894,,3.37067,0.00307427
3.37082,0.000860742,,3.37082,0.00353465
3.37098,0.000943512,,3.37098,0.00386108
3.37114,0.000990024,,3.37114,0.00404232
3.37129,0.000998489,,3.37129,0.00407218
3.37145,0.000968583,,3.37145,0.00394963
3.37161,0.000901455,,3.37161,0.00367884
3.37176,0.000799685,,3.37176,0.00326912
3.37192,0.000667183,,3.37192,0.00273466
3.37207,0.000509041,,3.37207,0.00209429
3.37223,0.000331338,,3.37223,0.00137095
3.37239,0.000140901,,3.37239,0.000591084
3.37254,-5.49502e-05,,3.37254,-0.00021616
3.3727,-0.00024869,,3.3727,-0.00101994
3.37286,-0.000432873,,3.37286,-0.00178884
3.37301,-0.00060042,,3.37301,-0.0024922
3.37317,-0.000744894,,3.37317,-0.0031014
3.37332,-0.000860742,,3.37332,-0.00359123
3.37348,-0.000943512,,3.37348,-0.00394117
3.37364,-0.000990024,,3.37364,-0.00413638
3.37379,-0.000998489,,3.37379,-0.00416853
3.37395,-0.000968583,,3.37395,-0.00403625
3.37411,-0.000901455,,3.37411,-0.00374521
3.37426,-0.000799685,,3.37426,-0.00330778
3.37442,-0.000667183,,3.37442,-0.00274238
3.37457,-0.000509041,,3.37457,-0.00207255
3.37473,-0.000331338,,3.37473,-0.00132571
3.37489,-0.000140901,,3.37489,-0.000531885
3.37504,5.49502e-05,,3.37504,0.000277654
3.3752,0.00024869,,3.3752,0.00107171
3.37536,0.000432873,,3.37536,0.00182036
3.37551,0.00060042,,3.37551,0.00249602
3.37567,0.000744894,,3.37567,0.00307427
3.37582,0.000860742,,3.37582,0.00353465
3.37598,0.000943512,,3.37598,0.00386108
3.37614,0.000990024,,3.37614,0.00404232
3.37629,0.000998489,,3.37629,0.00407218
3.37645,0.000968583,,3.37645,0.00394963
3.37661,0.000901455,,3.37661,0.00367884
3.37676,0.000799685,,3.37676,0.00326912
3.37692,0.000667183,,3.37692,0.00273466
